PlcIndex	befundart	epoche	abschnitt	kultur	Easting	Northing
17535	unklar	undat.	NA	NA	4500679,585	5733311,365
17536	Siedlung	undat.	NA	NA	4500679,344	5733309,989
17537	Siedlung	undat.	NA	NA	4500681,624	5733309,849
17538	Siedlung	Neolithikum	spaet	Schnurkeramik	4500682,522	5733313,369
17539	unklar	undat.	NA	NA	4500661,057	5733330,597
17540	Siedlung	undat.	NA	NA	4500656,675	5733431,944
17544	Siedlung	undat.	NA	NA	4500690,475	5733449,714
17545	Siedlung	undat.	NA	NA	4500695,285	5733449,098
17546	Siedlung	undat.	NA	NA	4500765,452	5733328,584
17547	Siedlung	undat.	NA	NA	4500701,348	5733458,972
17548	Siedlung	undat.	NA	NA	4500695,554	5733452,44
17549	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500690,63	5733452,821
17550	unklar	undat.	NA	NA	4500688,851	5733451,486
17551	Siedlung	undat.	NA	NA	4500690,974	5733450,799
17552	Siedlung	undat.	NA	NA	4500712,927	5733454,947
17559	Siedlung	undat.	NA	NA	4500677,592	5733379,503
17560	Siedlung	undat.	NA	NA	4500677,372	5733378,601
17561	Siedlung	undat.	NA	NA	4500677,778	5733378,997
17562	Siedlung	undat.	NA	NA	4500677,16	5733376,149
17563	Siedlung	undat.	NA	NA	4500677,347	5733375,32
17564	Siedlung	undat.	NA	NA	4500676,53	5733378,032
17565	Siedlung	undat.	NA	NA	4500676,744	5733377,089
17566	Siedlung	undat.	NA	NA	4500768,782	5733377,321
17567	Siedlung	undat.	NA	NA	4500677,788	5733380,483
17568	Siedlung	undat.	NA	NA	4500679,341	5733378,695
17569	Siedlung	undat.	NA	NA	4500568,851	5733372,29
17590	Siedlung	undat.	NA	NA	4500810,197	5733379,32
17591	Siedlung	undat.	NA	NA	4500803,674	5733379,433
17595	Siedlung	undat.	NA	NA	4500678,349	5733357,212
17612	Siedlung	undat.	NA	NA	4500702,799	5733427,822
17613	Siedlung	undat.	NA	NA	4500624,438	5733378,918
17614	Siedlung	undat.	NA	NA	4500617,438	5733380,419
17615	Siedlung	undat.	NA	NA	4500651,748	5733269,322
17616	Siedlung	undat.	NA	NA	4500625,604	5733368,074
17617	Siedlung	undat.	NA	NA	4500598,843	5733322,658
17618	Siedlung	undat.	NA	NA	4500597,162	5733365,522
17619	Siedlung	Neolithikum	spaet	Schnurkeramik	4500612,808	5733352,347
17620	Siedlung	undat.	NA	NA	4500605,169	5733302,635
17621	Siedlung	undat.	NA	NA	4500599,389	5733324,041
17622	Siedlung	undat.	NA	NA	4500628,073	5733342,55
17623	Siedlung	Eisenzeit	aelter	Hausurnenkultur	4500612,807	5733344,975
17624	unklar	undat.	NA	NA	4500618,249	5733350,244
17625	Siedlung	undat.	NA	NA	4500628,386	5733340,758
17626	Siedlung	undat.	NA	NA	4500705,068	5733429,847
17627	Siedlung	undat.	NA	NA	4500608,126	5733315,237
17628	Siedlung	undat.	NA	NA	4500704,082	5733428,557
