"","PlcIndex","Easting","Northing"
"4438",18107,4500905.358,5733413.1
"4440",18108,4500905.229,5733413.17
"4442",18185,4500920.187,5733412.085
"4444",18186,4500919.689,5733413.272
"4446",18334,4500828.874,5733382.62
"4447",6416,4497963.995,5733556.725
"4452",16916,4500745.31,5733317.022
"4456",16943,4500658.295,5733280.229
"4458",16961,4500714.001,5733270.599
"4460",16972,4500682.37,5733448.455
"4462",16982,4500687.069,5733408.253
"4464",16996,4500675.765,5733294.015
"4466",17018,4500733.351,5733386.972
"4468",17006,4500750.038,5733391.691
"4470",17016,4500727.855,5733383.866
"4472",17025,4500731.163,5733387.704
"4474",17026,4500730.556,5733387.179
"4476",17039,4500754.615,5733361.006
"4478",17044,4500791.284,5733338.681
"4480",17065,4500657.422,5733409.483
"4482",17081,4500715.1,5733269.933
"4484",17128,4500744.412,5733386.424
"4488",17132,4500750.36,5733384.772
"4490",17143,4500754.114,5733353.05
"4492",17153,4500782.071,5733345.164
"4496",17230,4500620.3,5733323.921
"4498",17227,4500622.499,5733322.595
"4500",17232,4500621.568,5733321.254
"4502",17233,4500619.622,5733322.296
"4504",17238,4500688.359,5733445.561
"4506",17244,4500737.536,5733391.178
"4508",17246,4500738.609,5733390.728
"4510",17252,4500742.003,5733393.454
"4512",17256,4500695.532,5733370.695
"4514",17309,4500756.239,5733334.198
"4516",17321,4500683.512,5733426.61
"4518",17322,4500693.514,5733431.244
"4520",17332,4500648.322,5733435.425
"4522",17333,4500650.812,5733440.168
"4524",17335,4500644.169,5733437.075
"4526",17338,4500723.837,5733404.905
"4530",17350,4500699.298,5733364.961
"4532",17412,4500709.73,5733370.163
"4534",17403,4500801.022,5733379.682
"4536",17414,4500735.346,5733356.173
"4540",17426,4500698.741,5733425.822
"4542",17431,4500697.881,5733427.539
"4544",17433,4500653.194,5733435.024
"4546",17440,4500784.68,5733381.369
"4548",17449,4500581.14,5733361.687
"4550",17467,4500782.436,5733372.205
"4552",17464,4500762.926,5733381.109
"4554",17468,4500747.305,5733389.916
"4556",17469,4500750.579,5733389.616
"4558",17470,4500764.818,5733380.78
"4560",17523,4500596.835,5733396.903
"4562",17553,4500766.738,5733327.679
"4564",17554,4500765.118,5733327.057
"4566",17636,4500692.258,5733331.878
"4568",17652,4500760.456,5733327.785
"4570",17659,4500701.485,5733453.725
"4572",17669,4500708.958,5733415.6
"4574",17679,4500766.515,5733324.527
"4576",17680,4500767.658,5733326.783
"4578",17685,4500766.199,5733326.261
"4580",17734,4500749.324,5733323.181
"4582",17742,4500712.096,5733431.529
"4584",17764,4500606.877,5733337.589
"4586",17769,4500603.162,5733348.39
"4588",17800,4500654.155,5733405.032
"4590",17824,4500791.791,5733378.044
"4592",17872,4500746.989,5733316.38
"4594",17899,4500645.719,5733438.549
"4596",17910,4500662.208,5733442.147
"4598",17911,4500664.187,5733444.591
"4600",17920,4500784.157,5733366.242
"4608",17963,4500710.39,5733317.388
"4612",17997,4500721.028,5733270.76
"4614",18011,4500768.812,5733349.376
"4616",18012,4500765.351,5733348.806
"4620",18053,4500716.061,5733396.603
"4622",18059,4500713.941,5733397.749
"4624",18065,4500792.751,5733354.354
"4626",18069,4500608.112,5733337.029
"4628",18082,4500652.45,5733339.472
"4630",18085,4500655.83,5733338.625
"4632",18087,4500792.551,5733372.639
"4634",18192,4500752.485,5733346.749
"4636",18196,4500752.18,5733348.32
"4640",18231,4500663.849,5733449.19
"4642",18236,4500725.561,5733302.305
"4646",18263,4500705.657,5733407.826
"4650",18288,4500761.634,5733323.543
"4654",18311,4500795.15,5733360.156
"4656",18313,4500753.868,5733385.709
"4658",18318,4500767.896,5733331.808
"4660",18331,4500655.48,5733293.082
"4662",18337,4500630.524,5733384.518
"4664",18338,4500640.262,5733363.766
"4666",18339,4500644.531,5733362.186
"4668",18365,4500714.064,5733462.901
"4670",18373,4500700.265,5733389.227
"4672",18376,4500696.679,5733392.939
"4674",18377,4500618.635,5733324.383
"4676",18378,4500617.822,5733322.803
"4678",18385,4500787.636,5733358.822
"4680",18386,4500775.932,5733365.022
"4682",18426,4500695.888,5733398.973
"4684",16949,4500839.799,5733424.636
"4686",17180,4500822.206,5733450.206
"4688",17181,4500823.637,5733447.382
"4690",17182,4500823.63,5733445.542
"4692",17183,4500823.131,5733452.07
"4694",17184,4500824.058,5733453.779
"4696",17203,4500753.67,5733442.537
"4698",17269,4500825.632,5733452.239
"4700",17276,4500824.652,5733449.33
"4702",17277,4500825.489,5733451.06
"4704",17287,4500744.816,5733401.809
"4706",17304,4500820.335,5733398.908
