"ID1" "ID2" "d12"
4739 1178 6.08
4739 1575 6.08
4739 1180 6.08
4739 1573 6.08
4739 13 4.11
4739 229 4.29
4739 74 0.73
4739 142 4.01
4739 194 4.27
4739 227 4.29
4739 228 4.29
4739 1826 5.73
4739 2145 5.39
4786 4789 0.23
4786 4888 0.01
4786 4952 0.1
4786 4961 0.11
4786 5001 0.01
4786 5003 0.01
4786 5004 0.01
4786 5005 0.01
4786 5006 0.01
4786 5007 0.01
4786 1149 6.18
4786 1178 6.14
4786 1575 6.13
4786 1180 6.14
4786 1573 6.13
4786 13 4.16
4786 229 4.33
4786 74 0.76
4786 142 4.05
4786 194 4.31
4786 227 4.33
4786 228 4.33
4786 1826 5.78
4786 2145 5.44
4789 4888 0.23
4789 4952 0.25
4789 4961 0.25
4789 5001 0.22
4789 5003 0.22
4789 5004 0.22
4789 5005 0.22
4789 5006 0.22
4789 5007 0.22
4789 1149 6.29
4789 1178 6.24
4789 1575 6.24
4789 1180 6.24
4789 1573 6.24
4789 13 4.3
4789 229 4.48
4789 74 0.96
4789 142 4.2
4789 194 4.46
4789 227 4.48
4789 228 4.48
4789 1826 5.9
4789 2145 5.56
4888 4952 0.1
4888 4961 0.1
4888 5001 0
4888 5003 0.01
4888 5004 0
4888 5005 0
4888 5006 0
4888 5007 0
4888 1149 6.17
4888 1178 6.13
4888 1575 6.13
4888 1180 6.13
4888 1573 6.13
4888 13 4.15
4888 229 4.33
4888 74 0.76
4888 142 4.05
4888 194 4.31
4888 227 4.33
4888 228 4.33
4888 1826 5.78
4888 2145 5.43
4952 4961 0
4952 5001 0.1
4952 5003 0.1
4952 5004 0.09
4952 5005 0.1
4952 5006 0.1
4952 5007 0.1
4952 1149 6.09
4952 1178 6.04
4952 1575 6.04
4952 1180 6.05
4952 1573 6.04
4952 13 4.08
4952 229 4.25
4952 74 0.71
4952 142 3.98
4952 194 4.23
4952 227 4.25
4952 228 4.25
4952 1826 5.69
4952 2145 5.35
4961 5001 0.1
4961 5003 0.1
4961 5004 0.09
4961 5005 0.1
4961 5006 0.1
4961 5007 0.1
4961 1149 6.09
4961 1178 6.04
4961 1575 6.04
4961 1180 6.05
4961 1573 6.04
4961 13 4.08
4961 229 4.25
4961 74 0.71
4961 142 3.98
4961 194 4.24
4961 227 4.25
4961 228 4.26
4961 1826 5.69
4961 2145 5.35
5001 5003 0.01
5001 5004 0
5001 5005 0
5001 5006 0
5001 5007 0
5001 1149 6.17
5001 1178 6.13
5001 1575 6.13
5001 1180 6.13
5001 1573 6.13
5001 13 4.15
5001 229 4.33
5001 74 0.76
5001 142 4.05
5001 194 4.31
5001 227 4.33
5001 228 4.33
5001 1826 5.78
5001 2145 5.44
5003 5004 0.01
5003 5005 0.01
5003 5006 0
5003 5007 0
5003 1149 6.18
5003 1178 6.13
5003 1575 6.13
5003 1180 6.13
5003 1573 6.13
5003 13 4.15
5003 229 4.33
5003 74 0.76
5003 142 4.05
5003 194 4.31
5003 227 4.33
5003 228 4.33
5003 1826 5.78
5003 2145 5.44
5004 5005 0
5004 5006 0
5004 5007 0
5004 1149 6.17
5004 1178 6.13
5004 1575 6.13
5004 1180 6.13
5004 1573 6.13
5004 13 4.15
5004 229 4.32
5004 74 0.76
5004 142 4.05
5004 194 4.31
5004 227 4.32
5004 228 4.33
5004 1826 5.77
5004 2145 5.43
5005 5006 0
5005 5007 0
5005 1149 6.17
5005 1178 6.13
5005 1575 6.13
5005 1180 6.13
5005 1573 6.13
5005 13 4.15
5005 229 4.33
5005 74 0.76
5005 142 4.05
5005 194 4.31
5005 227 4.33
5005 228 4.33
5005 1826 5.78
5005 2145 5.43
5006 5007 0
5006 1149 6.17
5006 1178 6.13
5006 1575 6.13
5006 1180 6.13
5006 1573 6.13
5006 13 4.15
5006 229 4.33
5006 74 0.76
5006 142 4.05
5006 194 4.31
5006 227 4.33
5006 228 4.33
5006 1826 5.78
5006 2145 5.44
5007 1149 6.17
5007 1178 6.13
5007 1575 6.13
5007 1180 6.13
5007 1573 6.13
5007 13 4.15
5007 229 4.33
5007 74 0.76
5007 142 4.05
5007 194 4.31
5007 227 4.33
5007 228 4.33
5007 1826 5.78
5007 2145 5.43
1149 1178 0.05
1149 1575 0.11
1149 1763 5.21
1149 2421 4.79
1149 1862 5.2
1149 1180 0.05
1149 1573 0.11
1149 2185 4.35
1149 2865 3.21
1149 2866 3.21
1149 2885 3.26
1149 2856 3.26
1149 2857 3.27
1149 2858 3.26
1149 13 2.25
1149 229 2.13
1149 74 5.52
1149 142 2.37
1149 194 2.12
1149 227 2.13
1149 228 2.13
1149 1826 0.42
1149 1921 5.2
1149 2145 0.81
1178 1575 0.13
1178 1763 5.24
1178 2421 4.82
1178 1862 5.23
1178 1180 0
1178 1573 0.13
1178 2185 4.38
1178 2865 3.23
1178 2866 3.23
1178 2885 3.28
1178 2856 3.28
1178 2857 3.29
1178 2858 3.29
1178 13 2.22
1178 229 2.1
1178 74 5.48
1178 142 2.34
1178 194 2.09
1178 227 2.1
1178 228 2.1
1178 1826 0.4
1178 1921 5.23
1178 2145 0.79
1575 1763 5.29
1575 2421 4.87
1575 1862 5.29
1575 1180 0.13
1575 1573 0
1575 2185 4.44
1575 2865 3.31
1575 2866 3.31
1575 2885 3.36
1575 2856 3.36
1575 2857 3.36
1575 2858 3.36
1575 13 2.17
1575 229 2.05
1575 74 5.47
1575 142 2.29
1575 194 2.04
1575 227 2.05
1575 228 2.05
1575 1826 0.35
1575 1921 5.28
1575 2145 0.73
1763 2421 0.43
1763 1862 0.1
1763 1180 5.24
1763 1573 5.29
1763 2185 0.88
1763 2865 2.14
1763 2866 2.14
1763 2885 2.09
1763 2856 2.08
1763 2857 2.08
1763 2858 2.08
1763 1826 5.63
1763 1921 0.05
1763 2145 6.02
2421 1862 0.42
2421 1180 4.81
2421 1573 4.87
2421 2185 0.45
2421 2865 1.71
2421 2866 1.71
2421 2885 1.65
2421 2856 1.65
2421 2857 1.65
2421 2858 1.65
2421 229 6.92
2421 194 6.91
2421 227 6.92
2421 228 6.92
2421 1826 5.21
2421 1921 0.41
2421 2145 5.6
1862 1180 5.23
1862 1573 5.29
1862 2185 0.86
1862 2865 2.11
1862 2866 2.11
1862 2885 2.05
1862 2856 2.05
1862 2857 2.05
1862 2858 2.05
1862 1826 5.63
1862 1921 0.06
1862 2145 6.02
1180 1573 0.13
1180 2185 4.38
1180 2865 3.23
1180 2866 3.23
1180 2885 3.28
1180 2856 3.28
1180 2857 3.29
1180 2858 3.28
1180 13 2.22
1180 229 2.11
1180 74 5.48
1180 142 2.34
1180 194 2.09
1180 227 2.11
1180 228 2.1
1180 1826 0.4
1180 1921 5.22
1180 2145 0.79
1573 2185 4.44
1573 2865 3.31
1573 2866 3.31
1573 2885 3.36
1573 2856 3.36
1573 2857 3.36
1573 2858 3.36
1573 13 2.17
1573 229 2.05
1573 74 5.47
1573 142 2.29
1573 194 2.04
1573 227 2.05
1573 228 2.05
1573 1826 0.35
1573 1921 5.28
1573 2145 0.73
2185 2865 1.26
2185 2866 1.26
2185 2885 1.21
2185 2856 1.21
2185 2857 1.2
2185 2858 1.21
2185 13 6.6
2185 229 6.48
2185 142 6.71
2185 194 6.47
2185 227 6.48
2185 228 6.48
2185 1826 4.77
2185 1921 0.86
2185 2145 5.16
2865 2866 0
2865 2885 0.05
2865 2856 0.05
2865 2857 0.06
2865 2858 0.06
2865 13 5.43
2865 229 5.33
2865 142 5.54
2865 194 5.31
2865 227 5.33
2865 228 5.33
2865 1826 3.63
2865 1921 2.11
2865 2145 4.02
2866 2885 0.06
2866 2856 0.06
2866 2857 0.06
2866 2858 0.06
2866 13 5.43
2866 229 5.33
2866 142 5.54
2866 194 5.31
2866 227 5.33
2866 228 5.32
2866 1826 3.62
2866 1921 2.12
2866 2145 4.01
2885 2856 0
2885 2857 0
2885 2858 0
2885 13 5.48
2885 229 5.38
2885 142 5.6
2885 194 5.36
2885 227 5.38
2885 228 5.38
2885 1826 3.68
2885 1921 2.06
2885 2145 4.07
2856 2857 0
2856 2858 0
2856 13 5.49
2856 229 5.38
2856 142 5.6
2856 194 5.36
2856 227 5.38
2856 228 5.38
2856 1826 3.68
2856 1921 2.06
2856 2145 4.07
2857 2858 0
2857 13 5.49
2857 229 5.38
2857 142 5.6
2857 194 5.37
2857 227 5.38
2857 228 5.38
2857 1826 3.68
2857 1921 2.06
2857 2145 4.07
2858 13 5.49
2858 229 5.38
2858 142 5.6
2858 194 5.36
2858 227 5.38
2858 228 5.38
2858 1826 3.68
2858 1921 2.06
2858 2145 4.07
13 229 0.18
13 74 3.43
13 142 0.11
13 194 0.16
13 227 0.18
13 228 0.18
13 1826 1.83
13 2145 1.44
229 74 3.61
229 142 0.28
229 194 0.05
229 227 0
229 228 0
229 1826 1.71
229 2145 1.32
74 142 3.33
74 194 3.59
74 227 3.61
74 228 3.61
74 1826 5.11
74 2145 4.76
142 194 0.27
142 227 0.28
142 228 0.28
142 1826 1.94
142 2145 1.55
194 227 0.05
194 228 0.05
194 1826 1.7
194 2145 1.31
227 228 0
227 1826 1.71
227 2145 1.32
228 1826 1.71
228 2145 1.32
1826 1921 5.62
1826 2145 0.39
1921 2145 6.01
