ID	flaeche_ID	PlcIndex	befundart	epoche	abschnitt	kultur	Quelle	Easting	Northing
0	1	4914	Graeberfeld	Neolithikum	spaet	Schnurkeramik	Schnitt	4490939,69	5738654,274
0	1	5647	Graeberfeld	Neolithikum	spaet	Glockenbecher	Schnitt	4491011,52	5738726,744
0	1	5808	Siedlung	Neolithikum	spaet	Schnurkeramik	Schnitt	4494912,52	5735240,873
0	1	5809	Siedlung	Neolithikum	spaet	Schnurkeramik	Schnitt	4494874,645	5735113,218
0	1	5834	Siedlung	Neolithikum	spaet	Schnurkeramik	Schnitt	4491707,313	5738219,768
0	1	5846	Siedlung	Neolithikum	spaet	Schnurkeramik	Schnitt	4492878,994	5737751,5
0	1	5847	Siedlung	Neolithikum	spaet	Schnurkeramik	Schnitt	4492879,631	5737749,551
0	1	5848	Siedlung	Neolithikum	spaet	Schnurkeramik	Schnitt	4492833,636	5737780,42
0	1	5855	Siedlung	Neolithikum	spaet	Schnurkeramik	Schnitt	4492833,259	5737781,679
0	1	5856	Siedlung	Neolithikum	spaet	Schnurkeramik	Schnitt	4492829,478	5737781,79
0	1	5857	Siedlung	Neolithikum	spaet	Schnurkeramik	Schnitt	4492829,922	5737779,76
0	1	6024	Siedlung	Neolithikum	spaet	Schnurkeramik	Schnitt	4496602,702	5733796,845
0	1	6056	Siedlung	Neolithikum	spaet	Schnurkeramik	Schnitt	4496423,006	5733773,902
0	1	6068	Siedlung	Neolithikum	spaet	Schnurkeramik	Schnitt	4499973,91	5733146,708
0	1	6092	Siedlung	Neolithikum	spaet	Schnurkeramik	Schnitt	4496697,848	5733733,188
0	1	6114	Siedlung	Neolithikum	spaet	Schnurkeramik	Schnitt	4496445,319	5733816,95
0	1	6132	Siedlung	Neolithikum	spaet	Schnurkeramik	Schnitt	4496422,93	5733773,634
0	1	6133	Siedlung	Neolithikum	spaet	Schnurkeramik	Schnitt	4496421,235	5733773,162
0	1	6512	Siedlung	Neolithikum	spaet	Schnurkeramik	Schnitt	4495194,919	5734962,016
0	1	6559	Siedlung	Neolithikum	spaet	Schnurkeramik	Schnitt	4490980,241	5738680,352
0	1	6613	Siedlung	Neolithikum	spaet	Schnurkeramik	Schnitt	4495470,242	5734684,476
