"PlcIndex"	"Easting"	"Northing"
5158	4491610.463	5738308.257
5159	4491570.754	5738325.147
5160	4491454.286	5738376.423
5161	4491523.319	5738343.956
5163	4491577.334	5738327.505
5164	4491579.248	5738314.012
5166	4491462.847	5738364.909
5167	4491457.918	5738373.295
5168	4491462.425	5738363.022
5169	4491460.106	5738371.108
5170	4491597.803	5738311.2
5171	4491601.662	5738307.871
5172	4491454.585	5738366.771
5174	4491599.796	5738306.856
5175	4491512.426	5738320.689
5177	4491591.026	5738308.917
5179	4491566.509	5738314.622
5180	4491595.686	5738318.928
5181	4491497.929	5738359.335
5183	4491602.685	5738316.145
5185	4491574.939	5738317.643
5186	4491598.18	5738308.472
5187	4491600.977	5738303.206
5189	4491594.184	5738314.469
5192	4491594.867	5738317.416
5193	4491547.798	5738319.326
5194	4491543.934	5738320.289
5195	4491541.191	5738321.149
5197	4491591.881	5738313.644
5199	4491590.589	5738313.854
5201	4491589.14	5738316.735
5202	4491574.583	5738330.434
5203	4491589.745	5738313.114
5205	4491593.42	5738309.663
5206	4491590.329	5738320.136
5209	4491599.476	5738309.481
5210	4491574.142	5738328.68
5211	4491562.972	5738325.992
5212	4491559.787	5738327.279
5215	4491589.126	5738311.442
5220	4491579.756	5738315.582
5221	4491578.537	5738316.778
5223	4491581.073	5738317.927
5224	4491559.946	5738327.993
5225	4491563.702	5738332.954
5226	4491550.368	5738338.966
5228	4491540.177	5738334.667
5229	4491539.389	5738339.467
5230	4491537.484	5738336.686
5231	4491536.953	5738346.95
5236	4491542.582	5738334.114
5237	4491520.933	5738346.203
5239	4491530.681	5738348.988
5240	4491584.917	5738311.749
5244	4491611.294	5738286.078
5245	4491527.926	5738348.769
5246	4491621.064	5738286.62
5247	4491629.088	5738287.701
5248	4491626.301	5738281.296
5249	4491621.754	5738281.069
5250	4491565.015	5738311.214
5251	4491623.683	5738284.01
5252	4491618.75	5738283.861
5253	4491582.121	5738299.255
5256	4491616.659	5738292.026
5259	4491612.751	5738294.362
5260	4491609.303	5738291.349
5261	4491607.011	5738293.415
5264	4491581.073	5738303.592
5265	4491593.917	5738298.404
5266	4491590.915	5738303.642
5268	4491583.044	5738301.363
5269	4491584.935	5738301.518
5275	4491588.476	5738305.136
5276	4491586.325	5738304.971
5277	4491581.634	5738301.386
5278	4491533.269	5738334.396
5279	4491525.746	5738342.189
5280	4491526.686	5738340.994
5281	4491523.761	5738341.586
5282	4491523.305	5738342.462
5283	4491536.233	5738334.491
5285	4491522.227	5738342.904
5287	4491587.497	5738320.794
5288	4491564.938	5738324.747
5289	4491532.357	5738336.379
5292	4491515.222	5738360.041
5307	4491528.853	5738338.449
5313	4491504.74	5738369.003
5317	4491507.32	5738368.492
5319	4491465.87	5738380.332
5325	4491566.588	5738320.331
5330	4491776.258	5738326.039
5345	4491540.25	5738337.298
5352	4491580.99	5738310.117
5353	4491541.49	5738329.074
5354	4491585.775	5738308.358
5355	4491500.252	5738334.264
5356	4491463.972	5738361.382
5358	4491463.2	5738376.065
5360	4491453.83	5738359.947
5363	4491449.98	5738364.174
5365	4491495.836	5738334.459
5368	4491462.766	5738375.802
5369	4491457.616	5738378.227
5370	4491499.364	5738336.846
5371	4491457.122	5738365.935
5372	4491453.217	5738365.46
5373	4491452.365	5738361.335
5375	4491605.258	5738303.902
5376	4491601.988	5738305.558
5381	4491601.277	5738310.183
5382	4491450.304	5738362.581
5383	4491576.533	5738327.101
5385	4491587.583	5738319.595
5388	4491538.536	5738338.069
5393	4491586.086	5738312.664
5394	4491581.506	5738315.82
5401	4491533.401	5738348.4
5403	4491472.861	5738391.103
5405	4491526.326	5738346.623
5407	4491527.649	5738347.228
5424	4491529.685	5738352.995
5432	4491612.94	5738288.474
5434	4491603.286	5738289.349
5444	4491600.197	5738290.855
5459	4491596.574	5738302.223
5460	4491596.288	5738292.015
5468	4491588.837	5738298.528
5473	4491557.588	5738326.975
5487	4491527.928	5738345.233
5488	4491582.205	5738309.059
5489	4491530.203	5738330.436
5490	4491452.615	5738375.912
5491	4491448.277	5738363.982
5492	4491451.85	5738358.98
5547	4494555.172	5735863.72
5595	4491568.037	5738317.043
5596	4491560.397	5738312.311
5597	4491568.711	5738310.089
5602	4491532.233	5738328.235
5603	4491521.88	5738341.506
5630	4491519.639	5738328.203
5632	4491578.346	5738328.43
5640	4491539.132	5738321.769
5643	4491580.93	5738311.982
5645	4491571.787	5738316.766
5650	4491584.836	5738305.543
5655	4491689.964	5738118.54
5658	4491531.347	5738340.666
5665	4491525.823	5738349.534
5680	4491533.25	5738351.099
5689	4491558.058	5738321.978
5692	4491559.759	5738321.152
5695	4491534.599	5738340.144
5696	4491526.72	5738355.297
5700	4491562.639	5738327.956
5701	4491558.569	5738325.569
5703	4491562.567	5738323.998
5756	4491525.196	5738337.765
5757	4491560.741	5738325.248
5758	4491587.633	5738297.3
5761	4491531.162	5738335.09
5762	4491555.991	5738326.892
5764	4491569.995	5738311.374
5766	4491588.602	5738302.608
5767	4491537.757	5738328.988
5768	4491534.38	5738327.936
5770	4491535.138	5738329.413
5771	4491533.22	5738337.34
5772	4491524.792	5738340.428
5775	4491538.361	5738326.956
5776	4491536.225	5738322.675
5777	4491536.43	5738327.661
5778	4491534.609	5738325.338
5780	4491530.659	5738332.937
5782	4491528.958	5738332.461
5783	4491569.922	5738323.102
5784	4491526.439	5738339.156
5787	4491538.173	5738334.733
5790	4491542.693	5738331.646
5793	4491584.171	5738304.036
5794	4491581.389	5738308.157
5795	4491555.886	5738326.574
5796	4491550.146	5738316.013
5797	4491547.699	5738321.898
5798	4491592.263	5738300.799
5800	4491566.312	5738322.266
5801	4491564.346	5738326.639
5802	4491563.194	5738321.641
5806	4491763.342	5738329.383
5807	4491747.883	5738331.396
5813	4491750.265	5738342.651
5814	4491761.918	5738333.175
5815	4491748.97	5738338.288
5820	4491749.442	5738314.035
5824	4491767.305	5738338.258
5831	4491760.128	5738328.207
5833	4491775.147	5738321.073
5838	4491753.256	5738254.705
5839	4491753.024	5738252.489
5842	4491763.877	5738339.665
5843	4491759.1	5738340.207
5844	4491760.064	5738337.084
5845	4491763.916	5738336.475
5859	4491576.756	5738313.923
5874	4491574.488	5738310.761
5886	4491556.735	5738340.059
5887	4491531.546	5738344.998
5932	4491549.21	5738318.608
5944	4491518.86	5738329.174
5945	4491524.75	5738326.74
5967	4491610.882	5738291.312
5976	4492656.311	5737917.763
6012	4491678.25	5738280.015
6016	4491686.572	5738262.481
6205	4491600.058	5738315.778
6209	4491596.009	5738315.353
6212	4491597.759	5738319.111
6229	4491644.861	5738290.216
6245	4491559.83	5738331.547
6262	4491548.107	5738338.62
6264	4491624.271	5738288.078
6271	4491587.494	5738322.302
6277	4491583.843	5738317.678
6279	4491584.746	5738313.694
6283	4491579.605	5738317.667
6291	4491550.719	5738343.236
6292	4491539.793	5738345.07
6294	4491589.315	5738296.565
6295	4491571.509	5738315.039
6296	4491579.769	5738310.846
6297	4491584.572	5738300.292
6298	4491583.197	5738302.281
6299	4491586.807	5738303.054
6302	4491549.976	5738320.22
6303	4491527.664	5738331.745
6304	4491523.641	5738333.906
6305	4491519.377	5738337.319
6306	4491521.101	5738343.378
6307	4491531.266	5738329.584
6308	4491508.17	5738341.088
6309	4491511.467	5738346.499
6310	4491539.957	5738332.443
6311	4491487.371	5738363.108
6312	4491484.052	5738360.491
6315	4491535.467	5738320.329
6317	4491520.956	5738324.896
6318	4491520.652	5738331.07
6319	4491519.047	5738330.435
6324	4491520.059	5738320.239
6328	4491511.889	5738327.999
6330	4491504.536	5738332.997
6343	4491511.062	5738310.325
6346	4491455.157	5738358.247
6400	4491677.537	5738265.07
